False,"[28, 53]",en,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",2645.664,2023-07-08,Mission: Impossible - Dead Reckoning Part One,7.7,2198
False,"[27, 9648]",en,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",2066.109,2023-10-25,Five Nights at Freddy's,8.1,1888
False,"[28, 18]",en,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",1501.712,2023-07-03,Sound of Freedom,8.2,1287
False,"[28, 12, 878]",en,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",1118.064,2023-11-08,The Marvels,6.5,149
False,"[28, 80, 53]",en,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",1014.236,2023-05-17,Fast X,7.2,4189
False,"[28, 10752]",en,"Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.",1009.96,2023-10-26,Boudica,6.8,42
False,"[28, 80, 18, 53]",en,"LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",830.269,2023-09-29,Muzzle,6.7,106
False,"[28, 53, 80]",en,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",866.541,2023-08-30,The Equalizer 3,7.4,1504
False,"[27, 53]",en,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",786.323,2023-09-26,Saw X,7.4,960
False,"[28, 35, 80]",fr,"François Sentinelle has two lives. By day, he is the most famous cop of Réunion Island, known for his tough methods and flowery shirts, pursuing criminals in his famous yellow defender. But the rest of the time, Sentinelle is also a charming singer.",784.801,2023-08-27,Sentinelle,5.2,185
False,"[28, 12, 53]",en,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",1065.515,2023-09-15,Expend4bles,6.5,642
False,"[28, 53, 80]",en,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",750.213,2023-08-23,Retribution,7,622
False,"[18, 36]",en,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,704.491,2023-07-19,Oppenheimer,8.2,4113
False,"[12, 28, 18]",en,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,653.055,2023-08-09,Gran Turismo,8,1367
False,"[10749, 18]",en,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",629.698,2023-09-13,After Everything,7.1,474
False,"[28, 12, 878, 53]",en,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,631.986,2008-08-20,Babylon A.D.,5.6,1888
False,"[27, 9648, 53]",en,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",592.534,2023-09-06,The Nun II,6.9,1368
False,[27],en,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",550.657,2023-10-04,The Exorcist: Believer,6.2,508
False,"[28, 878, 27]",en,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,545.397,2023-08-02,Meg 2: The Trench,6.8,2485
False,"[16, 10751, 28, 878]",en,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",560.615,2023-09-21,PAW Patrol: The Mighty Movie,7,138
False,"[28, 878, 12]",en,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",477.735,2023-08-16,Blue Beetle,7,1518
False,"[28, 18]",ml,"Once-menacing, anger fueled, trained martial arts fighters Robert, Dony and Xavier settle down to peaceful lives, after a significant event prompts them. Fate orchestrates their reunion and return from exile to their fighting ways, when their history linger ominously and one of them faces a violent attack.",548.142,2023-08-25,RDX: Robert Dony Xavier,7.4,14
False,"[28, 18, 10752]",hi,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",472.774,2019-01-11,Uri: The Surgical Strike,7.1,296
False,"[35, 12, 14]",en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",445.92,2023-07-19,Barbie,7.2,5793
False,"[28, 12, 878]",en,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",409.575,2023-06-06,Transformers: Rise of the Beasts,7.5,3517
False,"[28, 80, 18, 53]",en,"After 11 years in a Mississippi state prison, Russell Gaines struggles to leave his past sins behind him as he returns home to his stoic father, Mitchell. One fateful night he meets Maben, a young mother with nothing but a stolen gun and a murdered police deputy to her name. Desperate and on the run, Russell and Maben must trust one another to escape their own circumstances, before the truths of their intertwined violent past threatens to destroy them.",461.824,2023-10-19,Desperation Road,7.4,46
False,"[16, 12, 10751, 14]",uk,"Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.",445.273,2023-03-02,Mavka: The Forest Song,7.3,479
False,"[878, 12, 10770]",en,"San Francisco becomes a target for waves of destructive meteors after a rogue comet orbits around the earth... For astronomer, Michelle Young, what was meant to be a once-in-a-lifetime celestial event, soon turns into her worst nightmare as thousands of meteors break the surface of the atmosphere and bombard the city of San Francisco.",381.979,2010-01-30,Meteor Storm,4.6,49
False,"[16, 35, 10751, 14, 10749]",en,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",416.683,2023-06-14,Elemental,7.7,2900
False,"[28, 53]",en,"When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.",343.532,2023-09-26,Sniper: G.R.I.T. - Global Response & Intelligence Team,7,77
False,"[16, 28, 12]",en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",412.522,2023-05-31,Spider-Man: Across the Spider-Verse,8.4,4823
False,"[28, 53, 80]",en,"Mother Holly McCord is driven to extremes to save the life of her young son. Even if it means hauling black market drugs in her souped-up truck, with the Feds in hot pursuit. With two bounties on her head and her son’s life on the line, Holly climbs behind the wheel of “Night Train,” ready to outrun, out gun, and outlast them all.",361.942,2023-01-13,Night Train,6.8,21
False,"[53, 18]",es,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",362.678,2023-09-29,Nowhere,7.6,818
False,"[10751, 16, 14, 10402, 35, 12]",en,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",337.616,2017-10-27,Coco,8.2,18106
False,[27],es,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",376.869,2023-10-05,When Evil Lurks,7.5,161
False,"[16, 10751, 12, 14, 35]",en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",366.372,2023-04-05,The Super Mario Bros. Movie,7.8,7109
False,"[28, 53, 80]",en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",335.321,2023-03-22,John Wick: Chapter 4,7.8,4914
